,ds,location,Area_Marla,bedrooms,bathrooms,yhat
110,2022-05-31,"D-12, Islamabad",4.4,4,4,35377661.002750844
111,2022-06-01,"D-12, Islamabad",4.4,4,4,28149634.45920133
112,2022-06-02,"D-12, Islamabad",4.4,4,4,33370384.607455954
113,2022-06-03,"D-12, Islamabad",4.4,4,4,29683277.64443367
114,2022-06-04,"D-12, Islamabad",4.4,4,4,28197126.0208889
115,2022-06-05,"D-12, Islamabad",4.4,4,4,28212956.590115488
116,2022-06-06,"D-12, Islamabad",4.4,4,4,32267607.153936755
117,2022-06-07,"D-12, Islamabad",4.4,4,4,35488474.51616679
118,2022-06-08,"D-12, Islamabad",4.4,4,4,28260447.972613607
119,2022-06-09,"D-12, Islamabad",4.4,4,4,33481198.120877437
120,2022-06-10,"D-12, Islamabad",4.4,4,4,29794091.15786159
121,2022-06-11,"D-12, Islamabad",4.4,4,4,28307939.53431449
122,2022-06-12,"D-12, Islamabad",4.4,4,4,28323770.10353867
123,2022-06-13,"D-12, Islamabad",4.4,4,4,32378420.667352684
124,2022-06-14,"D-12, Islamabad",4.4,4,4,35599288.02959539
125,2022-06-15,"D-12, Islamabad",4.4,4,4,28371261.48603045
126,2022-06-16,"D-12, Islamabad",4.4,4,4,33592011.63428904
127,2022-06-17,"D-12, Islamabad",4.4,4,4,29904904.671267126
128,2022-06-18,"D-12, Islamabad",4.4,4,4,28418753.047709648
129,2022-06-19,"D-12, Islamabad",4.4,4,4,28434583.616943642
130,2022-06-20,"D-12, Islamabad",4.4,4,4,32489234.180782653
131,2022-06-21,"D-12, Islamabad",4.4,4,4,35710101.543011345
132,2022-06-22,"D-12, Islamabad",4.4,4,4,28482074.999453362
133,2022-06-23,"D-12, Islamabad",4.4,4,4,33702825.14771053
134,2022-06-24,"D-12, Islamabad",4.4,4,4,30015718.18468386
135,2022-06-25,"D-12, Islamabad",4.4,4,4,28529566.561148144
136,2022-06-26,"D-12, Islamabad",4.4,4,4,28545397.13035059
137,2022-06-27,"D-12, Islamabad",4.4,4,4,32600047.69418455
138,2022-06-28,"D-12, Islamabad",4.4,4,4,35820915.05641823
139,2022-06-29,"D-12, Islamabad",4.4,4,4,28592888.512865636
140,2022-06-30,"D-12, Islamabad",4.4,4,4,33813638.66111888
141,2022-07-01,"D-12, Islamabad",4.4,4,4,30126531.69810059
142,2022-07-02,"D-12, Islamabad",4.4,4,4,28640380.07455852
143,2022-07-03,"D-12, Islamabad",4.4,4,4,28656210.643790014
144,2022-07-04,"D-12, Islamabad",4.4,4,4,32710861.20761452
145,2022-07-05,"D-12, Islamabad",4.4,4,4,35931728.56984324
146,2022-07-06,"D-12, Islamabad",4.4,4,4,28703702.02628248
147,2022-07-07,"D-12, Islamabad",4.4,4,4,33924452.17454036
148,2022-07-08,"D-12, Islamabad",4.4,4,4,30237345.211517315
149,2022-07-09,"D-12, Islamabad",4.4,4,4,28751193.587984115
150,2022-07-10,"D-12, Islamabad",4.4,4,4,28767024.15719696
151,2022-07-11,"D-12, Islamabad",4.4,4,4,32821674.72101423
152,2022-07-12,"D-12, Islamabad",4.4,4,4,36042542.08325013
153,2022-07-13,"D-12, Islamabad",4.4,4,4,28814515.539697044
154,2022-07-14,"D-12, Islamabad",4.4,4,4,34035265.68795197
155,2022-07-15,"D-12, Islamabad",4.4,4,4,30348158.72492286
156,2022-07-16,"D-12, Islamabad",4.4,4,4,28862007.101392172
157,2022-07-17,"D-12, Islamabad",4.4,4,4,28877837.67060391
158,2022-07-18,"D-12, Islamabad",4.4,4,4,32932488.23443016
159,2022-07-19,"D-12, Islamabad",4.4,4,4,36153355.59667873
160,2022-07-20,"D-12, Islamabad",4.4,4,4,28925329.053111605
161,2022-07-21,"D-12, Islamabad",4.4,4,4,34146079.20137346
162,2022-07-22,"D-12, Islamabad",4.4,4,4,30458972.23836179
163,2022-07-23,"D-12, Islamabad",4.4,4,4,28972820.61481777
164,2022-07-24,"D-12, Islamabad",4.4,4,4,28988651.184027098
165,2022-07-25,"D-12, Islamabad",4.4,4,4,33043301.747846097
166,2022-07-26,"D-12, Islamabad",4.4,4,4,36264169.110085614
167,2022-07-27,"D-12, Islamabad",4.4,4,4,29036142.566532232
168,2022-07-28,"D-12, Islamabad",4.4,4,4,34256892.71479495
169,2022-07-29,"D-12, Islamabad",4.4,4,4,30569785.75176733
170,2022-07-30,"D-12, Islamabad",4.4,4,4,29083634.128228143
171,2022-07-31,"D-12, Islamabad",4.4,4,4,29099464.697450284
172,2022-08-01,"D-12, Islamabad",4.4,4,4,33154115.261276066
173,2022-08-02,"D-12, Islamabad",4.4,4,4,36374982.623510614
174,2022-08-03,"D-12, Islamabad",4.4,4,4,29146956.07994908
175,2022-08-04,"D-12, Islamabad",4.4,4,4,34367706.22820655
176,2022-08-05,"D-12, Islamabad",4.4,4,4,30680599.265184063
177,2022-08-06,"D-12, Islamabad",4.4,4,4,29194447.641638517
178,2022-08-07,"D-12, Islamabad",4.4,4,4,29210278.210855253
179,2022-08-08,"D-12, Islamabad",4.4,4,4,33264928.774677962
180,2022-08-09,"D-12, Islamabad",4.4,4,4,36485796.13691751
181,2022-08-10,"D-12, Islamabad",4.4,4,4,29257769.593361355
182,2022-08-11,"D-12, Islamabad",4.4,4,4,34478519.74162804
183,2022-08-12,"D-12, Islamabad",4.4,4,4,30791412.778600615
184,2022-08-13,"D-12, Islamabad",4.4,4,4,29305261.155048896
185,2022-08-14,"D-12, Islamabad",4.4,4,4,29321091.7242622
186,2022-08-15,"D-12, Islamabad",4.4,4,4,33375742.28810793
187,2022-08-16,"D-12, Islamabad",4.4,4,4,36596609.65033345
188,2022-08-17,"D-12, Islamabad",4.4,4,4,29368583.106778197
189,2022-08-18,"D-12, Islamabad",4.4,4,4,34589333.25503639
190,2022-08-19,"D-12, Islamabad",4.4,4,4,30902226.29202853
191,2022-08-20,"D-12, Islamabad",4.4,4,4,29416074.668474488
192,2022-08-21,"D-12, Islamabad",4.4,4,4,29431905.237701632
193,2022-08-22,"D-12, Islamabad",4.4,4,4,33486555.80152168
194,2022-08-23,"D-12, Islamabad",4.4,4,4,36707423.163762055
195,2022-08-24,"D-12, Islamabad",4.4,4,4,29479396.62019276
196,2022-08-25,"D-12, Islamabad",4.4,4,4,34700146.768452935
197,2022-08-26,"D-12, Islamabad",4.4,4,4,31013039.805434074
198,2022-08-27,"D-12, Islamabad",4.4,4,4,29526888.18186964
199,2022-08-28,"D-12, Islamabad",4.4,4,4,29542718.75110858
200,2022-08-29,"D-12, Islamabad",4.4,4,4,33597369.314937614
201,2022-08-30,"D-12, Islamabad",4.4,4,4,36818236.677178
202,2022-08-31,"D-12, Islamabad",4.4,4,4,29590210.1336096
