property_id,location_id,page_url,property_type,price,price_bin,location,city,province_name,locality,latitude,longitude,baths,area,area_marla,area_sqft,purpose,bedrooms,date_added,year,month,day,agency,agent
16969405,160,https://www.zameen.com/Property/islamabad_d_12_272_sqyrd_brand_new_stylish_ground_portion_available_for_rent_in_d12-16969405-160-4.html,Lower Portion,49000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,2,10 Marla,10,2722.51,For Rent,2,6/27/2019,2019,6,27,Rifadah Real Estate,Malik Mehmood
16975041,3158,https://www.zameen.com/Property/d_12_d_12_markaz_2_bed_flat_for_sale_at_d_12_cda_sector-16975041-3158-1.html,Flat,10500000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.94733,2,2 Marla,2,544.5,For Sale,2,7/3/2019,2019,7,3,,
16978874,3157,https://www.zameen.com/Property/d_12_d_12_4_the_best_house_for_living_purpose-16978874-3157-1.html,House,24000000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701707,72.956686,4,5 Marla,5,1361.25,For Sale,4,7/1/2019,2019,7,1,Agha Real Estate,Shahrukh Naqvi
16995586,160,https://www.zameen.com/Property/islamabad_d_12_d_12_full_house_for_rent_2_unit_6_bed_size_3770-16995586-160-4.html,House,110000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,6,10 Marla,10,2722.51,For Rent,6,6/28/2019,2019,6,28,Prime Estate,Raja Nadeem
17002171,3157,https://www.zameen.com/Property/d_12_d_12_4_d_124_full_house_for_rent_size_10_maral_2_unit-17002171-3157-4.html,House,105000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701707,72.956686,6,10 Marla,10,2722.51,For Rent,6,6/29/2019,2019,6,29,Prime Estate,Nadeem
17007714,3154,https://www.zameen.com/Property/d_12_d_12_1_house_is_available_for_sale_at_double_road_back-17007714-3154-1.html,House,55000000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.697565,72.944241,0,14 Marla,14,3811.51,For Sale,0,7/1/2019,2019,7,1,Al Abraj Associates,Muhammad Sohail
17013999,160,https://www.zameen.com/Property/islamabad_d_12_well_built_house_available_in__good_location-17013999-160-1.html,House,17500000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,4 Marla,4,1089,For Sale,0,7/1/2019,2019,7,1,Legend Property,M. Raza
17014000,160,https://www.zameen.com/Property/islamabad_d_12_well_built_house_available_in__good_location-17014000-160-1.html,House,15500000,Medium,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,4 Marla,4,1089,For Sale,0,7/1/2019,2019,7,1,Legend Property,M. Raza
17014001,160,https://www.zameen.com/Property/islamabad_d_12_well_built_house_available_in__good_location-17014001-160-1.html,House,48500000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,10 Marla,10,2722.51,For Sale,0,7/1/2019,2019,7,1,Legend Property,M. Raza
17014005,160,https://www.zameen.com/Property/islamabad_d_12_here_is_a_good_opportunity_to_live_in_a_well_built_house-17014005-160-1.html,House,17500000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,4 Marla,4,1089,For Sale,0,7/1/2019,2019,7,1,Legend Property,Raza
17014006,160,https://www.zameen.com/Property/islamabad_d_12_here_is_a_good_opportunity_to_live_in_a_well_built_house-17014006-160-1.html,House,15500000,Medium,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,4 Marla,4,1089,For Sale,0,7/1/2019,2019,7,1,Legend Property,Raza
17014008,160,https://www.zameen.com/Property/islamabad_d_12_here_is_a_good_opportunity_to_live_in_a_well_built_house-17014008-160-1.html,House,48500000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,10 Marla,10,2722.51,For Sale,0,7/1/2019,2019,7,1,Legend Property,Raza
17011622,3155,https://www.zameen.com/Property/d_12_d_12_2_brand_new_upper_portion_for_rent_house_size_35x70_proper_corner_wide_street_3_beds_baths_se_prate_entrance-17011622-3155-4.html,House,50000,Medium,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.702421,72.941837,3,10 Marla,10,2722.51,For Rent,3,7/1/2019,2019,7,1,Niazi Builders & Estate Agency,Shahzaib Niazi
17020209,160,https://www.zameen.com/Property/islamabad_d_12_ground_portion_d_12_for_rent-17020209-160-4.html,Lower Portion,25000,Low,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,4 Marla,4,1089,For Rent,0,7/1/2019,2019,7,1,,
17020622,3158,https://www.zameen.com/Property/d_12_d_12_markaz_5_marla_house_for_rent-17020622-3158-4.html,House,80000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.94733,0,5 Marla,5,1361.25,For Rent,0,7/1/2019,2019,7,1,,
17022793,3154,https://www.zameen.com/Property/d_12_d_12_1_brand_new_house_for_rent_size_50x90-17022793-3154-4.html,House,300000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.697565,72.944241,9,1 Kanal,20,5445.02,For Rent,9,7/1/2019,2019,7,1,Taha Real Estate & Builder,Sajid Mehmood
17051628,160,https://www.zameen.com/Property/islamabad_d_12_brand_new_house_is_available_for_sale-17051628-160-1.html,House,105000000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,1.2 Kanal,24,6534.02,For Sale,0,7/2/2019,2019,7,2,Nassar Property Marketing,Rana Arshed
17051629,160,https://www.zameen.com/Property/islamabad_d_12_brand_new_house_is_available_for_sale-17051629-160-1.html,House,90000000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,1.2 Kanal,24,6534.02,For Sale,0,7/2/2019,2019,7,2,Nassar Property Marketing,Rana Arshed
17051630,160,https://www.zameen.com/Property/islamabad_d_12_brand_new_house_is_available_for_sale-17051630-160-1.html,House,60000000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,14 Marla,14,3811.51,For Sale,0,7/2/2019,2019,7,2,Nassar Property Marketing,Rana Arshed
17051641,160,https://www.zameen.com/Property/islamabad_d_12_brand_new_house_is_available_for_sale-17051641-160-1.html,House,45000000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,0,10 Marla,10,2722.51,For Sale,0,7/2/2019,2019,7,2,Nassar Property Marketing,Rana Arshed
17051324,160,https://www.zameen.com/Property/islamabad_d_12_well_built_portion_available_in_good_location-17051324-160-4.html,Lower Portion,50000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,3,14 Marla,14,3811.51,For Rent,3,7/4/2019,2019,7,4,,
17051325,160,https://www.zameen.com/Property/islamabad_d_12_well_built_portion_available_in_good_location-17051325-160-4.html,Lower Portion,65000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,3,1 Kanal,20,5445.02,For Rent,3,7/4/2019,2019,7,4,,
17051327,160,https://www.zameen.com/Property/islamabad_d_12_well_built_portion_available_in_good_location-17051327-160-4.html,Upper Portion,85000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,3,1.2 Kanal,24,6534.02,For Rent,3,7/4/2019,2019,7,4,,
17051328,160,https://www.zameen.com/Property/islamabad_d_12_well_built_portion_available_in_good_location-17051328-160-4.html,Upper Portion,45000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,2,10 Marla,10,2722.51,For Rent,2,7/4/2019,2019,7,4,,
